type,subscriberId,account,startDateTime,watchedTime,contentId,title,channel,endDateTime
Youtube,mj@music.com,5432,2026-02-12T05:49:06.000Z,1080,900005,Top 10 Hidden Gems in Tokyo,Tom’s Travels,2026-02-12T06:19:16.000Z
Youtube,mj@music.com,5432,2026-02-12T13:28:10.000Z,985,900035,DIY Home Renovation Projects,Rachel’s Renovations,2026-02-12T13:44:35.000Z
Youtube,mj@music.com,5432,2026-02-12T09:54:53.000Z,596,900012,Cooking with Spices: A Beginner’s Guide,Spiced Up Cooking,2026-02-12T10:13:51.000Z
Youtube,mj@music.com,5432,2026-02-12T07:47:16.000Z,435,900043,Yoga for Better Sleep,Sleep Wellness,2026-02-12T08:03:04.000Z
Youtube,mj@music.com,5432,2026-02-12T03:20:44.000Z,605,900004,The Science of Black Holes Explained Simply,Science Simplified,2026-02-12T03:30:49.000Z
Youtube,mj@music.com,5432,2026-02-12T23:17:03.000Z,639,900027,Fun Science Experiments for Kids,Kids Science Club,2026-02-12T23:27:42.000Z
Youtube,mj@music.com,5432,2026-02-12T01:13:15.000Z,742,900033,Understanding Cryptocurrency and Blockchain,Crypto Insights,2026-02-12T01:36:19.000Z
Youtube,mj@music.com,5432,2026-02-12T13:29:02.000Z,950,900034,Cooking Traditional Italian Dishes,Isabella’s Italian Kitchen,2026-02-12T13:44:52.000Z
Youtube,mj@music.com,5432,2026-02-12T23:08:26.000Z,886,900033,Understanding Cryptocurrency and Blockchain,Crypto Insights,2026-02-12T23:30:07.000Z
Youtube,mj@music.com,5432,2026-02-12T09:14:15.000Z,855,900005,Top 10 Hidden Gems in Tokyo,Tom’s Travels,2026-02-12T09:28:30.000Z
Youtube,mj@music.com,5432,2026-02-12T13:34:03.000Z,1126,900023,How to Write a Bestselling Novel,Alice’s Writing Room,2026-02-12T13:52:49.000Z
Youtube,mj@music.com,5432,2026-02-12T09:30:58.000Z,918,900034,Cooking Traditional Italian Dishes,Isabella’s Italian Kitchen,2026-02-12T09:46:16.000Z
Youtube,mj@music.com,5432,2026-02-12T19:37:54.000Z,1111,900005,Top 10 Hidden Gems in Tokyo,Tom’s Travels,2026-02-12T19:56:25.000Z
Youtube,mj@music.com,5432,2026-02-12T13:19:18.000Z,1030,900038,The Secrets of Successful Investing,Wealth Strategies,2026-02-12T13:36:28.000Z
Youtube,sam.altman@chatgpt.com,5432,2026-02-12T05:46:48.000Z,578,900030,Learning Guitar: Beginner’s Tutorial,Gary’s Guitar Lessons,2026-02-12T05:56:26.000Z
Youtube,sam.altman@chatgpt.com,5432,2026-02-12T11:03:52.000Z,760,900020,How to Master Public Speaking,Public Speaking Pro,2026-02-12T11:16:32.000Z
Youtube,sam.altman@chatgpt.com,5432,2026-02-12T08:45:03.000Z,1024,900039,Creative Writing: Crafting Engaging Stories,Creative Pen,2026-02-12T09:02:07.000Z
Youtube,sam.altman@chatgpt.com,5432,2026-02-12T14:18:19.000Z,294,900008,5 Minute Yoga Routine for Beginners,Yoga with Yvonne,2026-02-12T14:25:24.000Z
